Distance,Elevation
0.0,225.5751088911324
1.0,225.61036922966107
2.0,225.64521012549713
3.0,225.67963928076682
4.0,225.71366430650326
5.0,225.7472927226464
6.0,225.780531958043
7.0,225.81338935044667
8.0,225.84587214651782
9.0,225.87798750182378
10.0,225.90974248083862
11.0,225.9411440569433
12.0,225.97219911242559
13.0,226.0029144384801
14.0,226.03329673520827
15.0,226.06335261161837
16.0,226.09308858562557
17.0,226.12251108405172
18.0,226.15162644262568
19.0,226.18044090598303
20.0,226.20896062766624
21.0,226.2371916701246
22.0,226.26514000471417
23.0,226.29281151169795
24.0,226.32021198024572
25.0,226.3473471084341
26.0,226.3742225032465
27.0,226.40084368057327
28.0,226.4272160652115
29.0,226.45334499086513
30.0,226.479235700145
31.0,226.5048933445687
32.0,226.53032298456066
33.0,226.55552958945222
34.0,226.58051803748148
35.0,226.6052931157934
36.0,226.62985952043977
37.0,226.65422185637922
38.0,226.67838463747725
39.0,226.70235228650608
40.0,226.7261291351449
41.0,226.74971942397966
42.0,226.77312730250316
43.0,226.79635682911498
44.0,226.81941197112167
45.0,226.84229660473648
46.0,226.86501451507954
47.0,226.88756939617784
48.0,226.90996485096517
49.0,226.93220439128217
50.0,226.9542914378763
51.0,226.97622932040187
52.0,226.99802127742004
53.0,227.01967045639873
54.0,227.0411799137128
55.0,227.06255261464383
56.0,227.08379143338036
57.0,227.10489915301767
58.0,227.1258784655579
59.0,227.14673197191
60.0,227.16746218188982
61.0,227.18807151421998
62.0,227.20856229652998
63.0,227.22893676535614
64.0,227.24919706614156
65.0,227.26934525323625
66.0,227.28938328989702
67.0,227.30931304828752
68.0,227.32913630947823
69.0,227.34885476344647
70.0,227.3684700090764
71.0,227.38798355415895
72.0,227.40739681539202
73.0,227.4267111183802
74.0,227.44592769763503
75.0,227.46504769657477
76.0,227.48407216752463
77.0,227.50300207171657
78.0,227.5218382792894
79.0,227.54058156928878
80.0,227.55923262966724
81.0,227.57779205728406
82.0,227.59626035790544
83.0,227.6146379462043
84.0,227.63292514576057
85.0,227.65112218906083
86.0,227.6692292174986
87.0,227.68724628137423
88.0,227.70517333989483
89.0,227.72301026117447
90.0,227.7407568222339
91.0,227.75841270900085
92.0,227.77597751630978
93.0,227.79345074790206
94.0,227.8108318164258
95.0,227.82812004343606
96.0,227.84531465939466
97.0,227.86241480367025
98.0,227.87941952453835
99.0,227.89632777918126
100.0,227.9131400364634
101.0,227.9285703377849
102.0,227.94392834914174
103.0,227.9592143595545
104.0,227.9744285493967
105.0,227.98957101390513
106.0,228.0046417861603
107.0,228.01964085954037
108.0,228.03456820964578
109.0,228.0494238156964
110.0,228.06420768139984
111.0,228.07891985529167
112.0,228.09356691711776
113.0,228.1081483630836
114.0,228.1226635992749
115.0,228.1371122040724
116.0,228.15149394455725
117.0,228.16580879239993
118.0,228.18005693923487
119.0,228.1942388115205
120.0,228.20835508488344
121.0,228.22240669794854
122.0,228.23639486565415
123.0,228.25032109205137
124.0,228.26416862216126
125.0,228.2779004190493
126.0,228.29151121666823
127.0,228.30499567379047
128.0,228.31834837442477
129.0,228.33156382762004
130.0,228.3446364666608
131.0,228.3575606476511
132.0,228.37033064748871
133.0,228.38294066122896
134.0,228.39538479883794
135.0,228.40765708133551
136.0,228.41975143632845
137.0,228.43166169293255
138.0,228.44338157608516
139.0,228.45490470024646
140.0,228.46622456249153
141.0,228.47733453499117
142.0,228.488227856883
143.0,228.49889762553204
144.0,228.50933678718064
145.0,228.51953812698903
146.0,228.52949425846424
147.0,228.53919761227996
148.0,228.5486404244854
149.0,228.55781472410376
150.0,228.56671451170843
151.0,228.57535128407315
152.0,228.58371321498362
153.0,228.59178839180294
154.0,228.5995647956325
155.0,228.6070302809082
156.0,228.61417255442979
157.0,228.62097915382543
158.0,228.6274374254501
159.0,228.633534501718
160.0,228.6392572778697
161.0,228.64459238817327
162.0,228.64952618155974
163.0,228.65404469669264
164.0,228.6581336364722
165.0,228.66177834197347
166.0,228.66496376581864
167.0,228.66767444498365
168.0,228.66989447303965
169.0,228.6716074718277
170.0,228.67279656256858
171.0,228.67347383004733
172.0,228.67374411097623
173.0,228.67360941152796
174.0,228.67307221511552
175.0,228.67213547700027
176.0,228.67080261858973
177.0,228.6690775214266
178.0,228.666964520868
179.0,228.66446839945527
180.0,228.661594379975
181.0,228.65834811821009
182.0,228.65473569538105
183.0,228.65076361027923
184.0,228.64643877108915
185.0,228.64176848690244
186.0,228.6367604589219
